Player,Pos,Ht,Wt
Alaa Abdelnaby,F-C,208.28,108.86
Zaid Abdul-Aziz,F-C,205.74,106.59
Kareem Abdul-Jabbar*,C,218.44,102.06
Mahmoud Abdul-Rauf,G,185.42,73.48
Tariq Abdul-Wahad,F,198.12,101.15
Shareef Abdur-Rahim,F,205.74,102.06
Tom Abernethy,F,200.66,99.79
Forest Able,G,190.5,81.65
John Abramovic,F,190.5,88.45
Álex Abrines,G-F,198.12,90.72
Alex Acker,G,195.58,83.91
Don Ackerman,G,182.88,83.01
Mark Acres,F-C,210.82,99.79
Bud Acton,F,198.12,95.25
Quincy Acy,F-C,200.66,108.86
Alvan Adams,F-C,205.74,95.25
Don Adams,F,198.12,95.25
George Adams,G-F,195.58,95.25
Hassan Adams,G,193.04,99.79
Jaylen Adams,G,187.96,86.18
Jordan Adams,G,195.58,94.8
Michael Adams,G,177.8,73.48
Steven Adams,C,210.82,120.2
Rafael Addison,G-F,200.66,97.52
Bam Adebayo,F-C,205.74,115.67
Deng Adel,F,200.66,90.72
Rick Adelman,G,185.42,79.38
Jeff Adrien,F,200.66,111.13
Arron Afflalo,G-F,195.58,95.25
Maurice Ager,G,195.58,91.63
Mark Aguirre,G-F,198.12,105.23
Blake Ahearn,G,187.96,86.18
Danny Ainge,G,193.04,79.38
Matthew Aitch,F,200.66,104.33
Alexis Ajinça,F-C,218.44,112.49
Henry Akin,F-C,208.28,102.06
Josh Akognon,G,180.34,83.91
DeVaughn Akoon-Purcell,G,198.12,90.72
Solomon Alabi,C,215.9,113.85
Mark Alarie,F,203.2,98.43
Gary Alcorn,C,205.74,102.06
Furkan Aldemir,F-C,208.28,108.86
Cole Aldrich,C,210.82,113.4
LaMarcus Aldridge,F-C,210.82,117.93
Chuck Aleksinas,C,210.82,117.93
Cliff Alexander,F,203.2,111.13
Cory Alexander,G,185.42,83.91
Courtney Alexander,G,195.58,92.99
Gary Alexander,F,200.66,108.86
Joe Alexander,F,203.2,104.33
Victor Alexander,F-C,205.74,120.2
Nickeil Alexander-Walker,G,195.58,92.99
Steve Alford,G,187.96,83.01
Rawle Alkins,G,195.58,102.06
Bill Allen,F-C,203.2,92.99
Bob Allen,F,205.74,92.99
Grayson Allen,G,193.04,89.81
Jarrett Allen,F-C,210.82,107.5
Jerome Allen,G,193.04,83.46
Kadeem Allen,G,185.42,90.72
Lavoy Allen,F-C,205.74,117.93
Lucius Allen,G,187.96,79.38
Malik Allen,F-C,208.28,115.67
Randy Allen,F,203.2,99.79
Ray Allen*,G,195.58,92.99
Tony Allen,G-F,193.04,96.62
Willie Allen,F,198.12,104.33
Odis Allison,F,198.12,88.45
Lance Allred,C,210.82,113.4
Darrell Allums,F,205.74,99.79
Morris Almond,G,198.12,102.06
Derrick Alston,F,210.82,102.06
Rafer Alston,G,187.96,77.56
Peter Aluma,C,208.28,117.93
John Amaechi,F-C,208.28,122.47
Ashraf Amaya,F,203.2,104.33
Al-Farouq Aminu,F,203.2,99.79
Lou Amundson,F-C,205.74,99.79
Bob Anderegg,G-F,190.5,90.72
Chris Andersen,F-C,208.28,111.13
David Andersen,C,210.82,111.13
Alan Anderson,G-F,198.12,99.79
Andrew Anderson,G,187.96,83.46
Antonio Anderson,G,198.12,97.52
Cliff Anderson,G-F,187.96,90.72
Dan Anderson,C,208.28,104.33
Dan Anderson,G,187.96,83.91
Derek Anderson,G,195.58,88.0
Dwight Anderson,G,190.5,83.91
Eric Anderson,F,205.74,99.79
Greg Anderson,F-C,208.28,104.33
J.J. Anderson,F,203.2,88.45
James Anderson,G-F,198.12,96.62
Jerome Anderson,G,195.58,88.45
Justin Anderson,G,198.12,104.33
Kenny Anderson,G,182.88,76.2
Kim Anderson,F,200.66,90.72
Kyle Anderson,G-F,205.74,104.33
Michael Anderson,G,180.34,83.46
Nick Anderson,G-F,198.12,92.99
Richard Anderson,F-C,208.28,108.86
Ron Anderson,G-F,200.66,97.52
Ryan Anderson,F,205.74,108.86
Shandon Anderson,G-F,198.12,94.35
Willie Anderson,G-F,200.66,86.18
Wally Anderzunas,F-C,200.66,99.79
Martynas Andriuškevičius,C,218.44,108.86
Don Anielak,F,200.66,86.18
Ike Anigbogu,F-C,208.28,113.4
Michael Ansley,F,200.66,102.06
Chris Anstey,C,213.36,112.94
Giannis Antetokounmpo,G-F,210.82,109.77
Kostas Antetokounmpo,F,208.28,90.72
Thanasis Antetokounmpo,F,198.12,92.99
Carmelo Anthony,F,203.2,108.86
Greg Anthony,G,182.88,79.83
Joel Anthony,C,205.74,111.13
Pero Antić,F-C,210.82,117.93
OG Anunoby,F,200.66,105.23
Keith Appling,G,185.42,83.91
Rafael Araújo,C,210.82,127.01
Stacey Arceneaux,F,193.04,95.25
Robert Archibald,F,210.82,113.4
Tiny Archibald*,G,185.42,68.04
Ryan Arcidiacono,G,190.5,88.45
Jim Ard,F-C,203.2,97.52
Gilbert Arenas,G,190.5,86.64
Trevor Ariza,F,203.2,97.52
Paul Arizin*,G-F,193.04,86.18
Joe Arlauckas,F,205.74,104.33
B.J. Armstrong,G,187.96,79.38
Bob Armstrong,F-C,203.2,99.79
Brandon Armstrong,G,195.58,85.28
Curly Armstrong,G-F,180.34,77.11
Darrell Armstrong,G,182.88,77.11
Hilton Armstrong,F-C,210.82,106.59
Tate Armstrong,G,190.5,79.38
Jesse Arnelle,F,195.58,99.79
Jay Arnette,G,187.96,79.38
Bob Arnzen,F,195.58,92.99
Carlos Arroyo,G,187.96,91.63
Darrell Arthur,F,205.74,106.59
John Arthurs,G,193.04,83.91
Jamel Artis,G-F,200.66,96.62
Ömer Aşık,C,213.36,115.67
Vincent Askew,G-F,198.12,95.25
Keith Askins,G-F,200.66,89.36
Don Asmonga,G,187.96,83.91
Dick Atha,G,187.96,86.18
Chucky Atkins,G,180.34,72.57
Al Attles*,G,182.88,79.38
Chet Aubuchon,G,177.8,62.14
Stacey Augmon,G-F,203.2,92.99
D.J. Augustin,G,180.34,83.01
James Augustine,F,208.28,106.59
Isaac Austin,C,208.28,115.67
Johnny Austin,G,182.88,77.11
Ken Austin,F,205.74,92.99
Anthony Avent,F,205.74,106.59
Bird Averitt,G,185.42,77.11
William Avery,G,187.96,89.36
Dennis Awtrey,C,208.28,106.59
Gustavo Ayón,C,208.28,113.4
Jeff Ayres,F,205.74,108.86
Deandre Ayton,C,210.82,113.4
Kelenna Azubuike,G,195.58,99.79
Mfiondu Kabengele,F,205.74,113.4
Whitey Kachan,G,187.96,79.38
George Kaftan,F,190.5,86.18
Ed Kalafat,F-C,198.12,111.13
Chris Kaman,C,213.36,120.2
Frank Kaminsky,F-C,213.36,108.86
Enes Kanter,C,208.28,118.84
Ralph Kaplowitz,G-F,187.96,77.11
Jason Kapono,F,203.2,96.62
Tony Kappen,G,177.8,74.84
Sergey Karasev,G-F,200.66,94.35
Coby Karl,G,195.58,97.52
George Karl,G,187.96,86.18
Ed Kasid,G,180.34,83.91
Mario Kasun,C,215.9,117.93
Leo Katkaveck,G,182.88,83.91
Bob Kauffman,F-C,203.2,108.86
Sasha Kaun,C,210.82,117.93
Wilbert Kautz,G-F,182.88,81.65
Clarence Kea,F,198.12,98.88
Mike Kearns,G,187.96,80.74
Tommy Kearns,G,180.34,83.91
Adam Keefe,F,205.74,104.33
Harold Keeling,G,193.04,83.91
Bill Keller,G,177.8,80.29
Gary Keller,F-C,205.74,99.79
Ken Keller,G,185.42,81.65
Rich Kelley,F-C,213.36,106.59
Clark Kellogg,F,200.66,102.06
Arvesta Kelly,G,187.96,79.38
Jerry Kelly,F,187.96,78.02
Ryan Kelly,F,210.82,104.33
Tom Kelly,G,182.88,77.11
Greg Kelser,F,200.66,86.18
Ben Kelso,G,190.5,88.45
Shawn Kemp,F-C,208.28,104.33
Tim Kempton,F-C,208.28,111.13
Frank Kendrick,F,198.12,89.81
Luke Kennard,G,195.58,93.44
